Litho_Facies,Formation,Well Name,Depth,GR,VCL,NPHI,RHOB,DT,FACIES,PHI
0,A,1,3132.539795,127.233902,0.902609706,0.247999996,2.608400106,89.33010101,5,0.000973768
0,A,1,3132.678223,127.8992996,0.909898996,0.252999991,2.610500097,89.53579712,5,0.000794246
0,A,1,3132.816895,120.9704971,0.833011687,0.25940001,2.60890007,89.55599976,5,0.005332797
0,A,1,3132.955322,121.7689972,0.841915488,0.256599993,2.613399983,90.1427002,5,0.004405276
0,A,1,3133.093506,122.8337021,0.853727043,0.259499997,2.620899916,90.1812973,5,0.003374407
0,A,1,3133.231934,124.6871033,0.874300003,0.259499997,2.619699955,90.06410217,5,0.002062791
0,A,1,3133.370605,124.6871033,0.874278605,0.269800007,2.609499931,89.88069916,5,0.002062997
0,A,1,3133.509033,123.2230988,0.858011544,0.262100011,2.602400065,89.63749695,5,0.003049651
0,A,1,3133.647461,124.0152969,0.866904855,0.269800007,2.604199886,89.77179718,5,0.002474787
0,A,1,3133.785889,131.2021942,0.946686328,0.26820001,2.613199949,89.74089813,5,0.00010324
0,A,1,3133.924561,130.2704926,0.936329901,0.276300013,2.621200085,89.73819733,5,0.0001
0,A,1,3134.062988,132.3202057,0.959004998,0.261700004,2.612499952,89.97660065,5,0.000102996
0,A,1,3134.201416,125.7987976,0.886642218,0.260899991,2.599900007,90.1257019,5,0.001503087
0,A,1,3134.339844,121.8470001,0.842664301,0.258599997,2.583499908,90.26589966,5,0.004321151
0,A,1,3134.478271,119.3983002,0.815494239,0.265500009,2.58220005,90.64830017,5,0.007665435
0,A,1,3134.616943,118.9990006,0.811150551,0.261900008,2.582799912,90.55180359,5,0.008369044
0,A,1,3134.755371,122.4605026,0.849565089,0.273499996,2.591700077,90.6210022,5,0.003717359
0,A,1,3134.893799,120.0662994,0.823079526,0.267800003,2.598200083,90.90599823,5,0.006585072
0,A,1,3135.031982,125.5230026,0.883620739,0.274500012,2.593600035,90.65350342,5,0.001634771
0,A,1,3135.170654,126.9449005,0.899454594,0.262499988,2.588999987,90.79730225,5,0.001065768
0,A,1,3135.309082,130.6941986,0.940825462,0.260500014,2.592400074,88.60690308,5,0.000306037
0,A,1,3135.44751,118.7161026,0.807773531,0.224900007,2.597899914,82.8844986,5,0.008914234
0,A,1,3135.585938,103.1865997,0.635258377,0.195099995,2.60439992,79.32569885,5,0.025490362
0,A,1,3135.724609,93.47100067,0.527505338,0.177699998,2.585099936,77.82330322,5,0.038604107
0,A,1,3135.863037,93.84449768,0.531706154,0.182600007,2.565900087,80.52729797,5,0.044142455
0,A,1,3136.001465,101.1224976,0.612573743,0.201499999,2.557499886,82.39810181,5,0.042276558
0,A,1,3136.139893,106.1799011,0.668774009,0.214599997,2.573199987,83.90899658,5,0.036974244
0,A,1,3136.27832,111.2630997,0.725148797,0.234200001,2.583800077,85.06079865,5,0.036003318
0,A,1,3136.416748,114.6110992,0.762267053,0.228100002,2.586100102,85.3769989,5,0.020343401
0,A,1,3136.55542,112.3486023,0.737190306,0.224600002,2.581599951,84.88140106,5,0.028025473
0,A,1,3136.693848,111.6830978,0.729753137,0.220500007,2.589400053,84.62139893,5,0.025509452
0,A,1,3136.832275,108.4682007,0.694158316,0.236200005,2.590800047,83.89630127,5,0.042414893
0,A,1,3136.970703,112.4608994,0.738505781,0.2403,2.592099905,83.74530029,5,0.029656468
0,A,1,3137.109131,112.8619003,0.742952347,0.238100007,2.58039999,83.52030182,5,0.027675685
0,A,1,3137.247559,116.4552994,0.782679796,0.232099995,2.57069993,82.84079742,5,0.014301275
0,A,1,3137.385986,108.2037964,0.691169322,0.219899997,2.560800076,82.60140228,5,0.038187329
0,A,1,3137.524658,106.103302,0.667706847,0.217800006,2.561000109,82.76229858,5,0.041475553
0,A,1,3137.663086,99.71499634,0.596864045,0.209299997,2.566699982,82.54660034,5,0.049244385
0,A,1,3137.801514,104.1069031,0.645546973,0.210500002,2.573800087,82.60990143,5,0.038849223
0,A,1,3137.939941,100.4643021,0.605219305,0.204500005,2.582900047,82.67949677,5,0.041652147
